BTA_Ammo_Rare_5,,,
Ammo_AmmunitionBox_Generic_ArrowIV,AmmunitionBox,3,7
Ammo_AmmunitionBox_Fascam_ArrowIV,AmmunitionBox,3,5
Ammo_AmmunitionBox_Nuke_ArrowIV,AmmunitionBox,3,1
Ammo_AmmunitionBox_Inferno_ArrowIV,AmmunitionBox,3,5
Ammo_AmmunitionBox_Homing_ArrowIV,AmmunitionBox,3,5
Ammo_AmmunitionBox_Generic_Longtom,AmmunitionBox,3,7
Ammo_AmmunitionBox_Shaped_Longtom,AmmunitionBox,3,4
Ammo_AmmunitionBox_Inferno_Longtom,AmmunitionBox,3,4
Ammo_AmmunitionBox_Copperhead_Longtom,AmmunitionBox,3,4
Ammo_AmmunitionBox_Generic_Sniper,AmmunitionBox,3,7
Ammo_AmmunitionBox_Shaped_Sniper,AmmunitionBox,3,4
Ammo_AmmunitionBox_Inferno_Sniper,AmmunitionBox,3,4
Ammo_AmmunitionBox_Copperhead_Sniper,AmmunitionBox,3,4
Ammo_AmmunitionBox_Generic_Thumper,AmmunitionBox,3,7
Ammo_AmmunitionBox_Shaped_Thumper,AmmunitionBox,3,4
Ammo_AmmunitionBox_Fascam_Thumper,AmmunitionBox,3,4
Ammo_AmmunitionBox_Copperhead_Thumper,AmmunitionBox,3,4
Ammo_AmmunitionBox_Generic_Longtom_Cannon,AmmunitionBox,3,8
Ammo_AmmunitionBox_Shaped_Longtom_Cannon,AmmunitionBox,3,5
Ammo_AmmunitionBox_Inferno_Longtom_Cannon,AmmunitionBox,3,5
Ammo_AmmunitionBox_Generic_Sniper_Cannon,AmmunitionBox,3,8
Ammo_AmmunitionBox_Shaped_Sniper_Cannon,AmmunitionBox,3,5
Ammo_AmmunitionBox_Inferno_Sniper_Cannon,AmmunitionBox,3,5
Ammo_AmmunitionBox_Generic_Thumper_Cannon,AmmunitionBox,3,8
Ammo_AmmunitionBox_Shaped_Thumper_Cannon,AmmunitionBox,3,5
Ammo_AmmunitionBox_Inferno_Thumper_Cannon,AmmunitionBox,3,5
